cadena;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Carrefour;Antares;Cerveza artesanal Antares Espiritu Lager 473 ml;473 ml;3800.0;3800.0;0;
Carrefour;Imperial;Cerveza rubia lager Imperial en botella retornable 1 lt.;1000 ml;5230.0;5230.0;0;
Carrefour;Imperial;Cerveza golden Imperial botella retornable 1 lt.;1000 ml;5229.0;5229.0;0;
Carrefour;Salta Cautiva;Cerveza Salta Cautiva Session Ipa 473 ml;473 ml;3105.0;3105.0;0;
Carrefour;Miller;Cerveza blanca Miller edición limitada 330 ml;330 ml;3815.0;3815.0;0;
Carrefour;Amstel;Cerveza blanca Amstel Lager edición limitada retornable 1 lt;1000 ml;4795.0;4795.0;0;
Carrefour;Imperial;Cerveza rubia Imperial Golden 710 ml;710 ml;4470.0;4470.0;0;
Carrefour;Antares;Cerveza artesanal Antares Scotch 473 ml;473 ml;4509.0;4509.0;0;
Carrefour;Antares;Cerveza artesanal Antares Honey 473 ml;473 ml;4509.0;4509.0;0;
Carrefour;Salta Cautiva;Cerveza roja Salta Cautiva 473 ml;473 ml;3105.0;3105.0;0;
Carrefour;Rabieta;Cerveza Rabieta Helles Munich 473 ml;473 ml;3900.0;3900.0;0;
Carrefour;Miller;Cerveza rubia miller 710 ml;710 ml;5175.0;5175.0;0;
Carrefour;Imperial;Cerveza rubia Imperial Lager 710 ml;710 ml;4470.0;4470.0;0;
Carrefour;Imperial;Cerveza rubia Imperial Apa 473 ml;473 ml;3295.0;3295.0;0;
Carrefour;Warsteiner;Cerveza rubia Warsteiner 473 ml;473 ml;3485.0;3485.0;0;
Carrefour;Grolsch;Cerveza rubia Golsch retornable 925 ml;925 ml;6755.0;6755.0;0;
Carrefour;Grolsch;Cerveza blanca Golsch 473 ml;473 ml;3925.0;3925.0;0;
Carrefour;Imperial;Cerveza rubia Imperial Ipa 1 lt;1000 ml;5670.0;5670.0;0;
Carrefour;Schneider;Cerveza rubia Schneider 1 lt;1000 ml;4580.0;4580.0;0;
Carrefour;Imperial;Cerveza blanca Imperia Golden porrón 330 ml;330 ml;3485.0;3485.0;0;
Carrefour;Miller;Cerveza blanca Miller Genuine Draft 473 ml;473 ml;3485.0;3485.0;0;
Carrefour;Antares;Cerveza blanca Antares Playa Grande 473 ml;473 ml;4509.0;4509.0;0;
Carrefour;Grolsch;Cerveza Grolsch Ipa 473 ml;473 ml;4140.0;4140.0;0;
Carrefour;Salta Cautiva;Cerveza blanca Salta Cautiva 473 ml;473 ml;3105.0;3105.0;0;
Carrefour;Kunstmann;Cerveza Kunstmann Ipa 473 ml;473 ml;4575.0;4575.0;0;
Carrefour;Kunstmann;Cerveza roja Torobayo Kunstmann 473 ml;473 ml;4575.0;4575.0;0;
Carrefour;Warsteiner;Cerveza rubia Warsteiner retornable 1 lt;1000 ml;6320.0;6320.0;0;
Carrefour;Imperial;Cerveza negra stout Imperial en lata 473 cc.;473 ml;3295.0;3295.0;0;
Carrefour;Barbaroja;Cerveza Barbaroja Frutada 330 ml;330 ml;3209.0;3209.0;0;
Carrefour;Antares;Cerveza artesanal Antares Kolsch 473 ml;473 ml;4509.0;4509.0;0;
Carrefour;Miller;Cerveza rubia Miller 1 lt;1000 ml;6320.0;6320.0;0;
Carrefour;Asahi;Cerveza blanca Dry Asahi porrón 330 ml;330 ml;5239.0;5239.0;0;
Carrefour;Peroni;Cerveza blanca Peroni porrón 330 ml;330 ml;5239.0;5239.0;0;
Carrefour;Salta Cautiva;Cerveza blanca Salta Cautiva retornable 1 lt;1000 ml;5239.0;5239.0;0;
Carrefour;Quilmes;Cerveza blanca Qulmes 710 ml;710 ml;3705.0;1945.12;48;2do al 50% Max 48 unidades Combinable QUILMES
Carrefour;Stella Artois;Cerveza blanca Stella Artois 710 ml;710 ml;5970.0;4477.5;25;2do al 50% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Bierhaus;Cerveza Bierhaus Red Ipa 473 ml;473 ml;4015.0;4015.0;0;
Carrefour;Monastere;Cerveza rubia Monastere Blond 500 ml;500 ml;8119.0;8119.0;0;
Carrefour;Weidmann;Cerveza negra Weidmann Pilsener 500 ml;500 ml;6945.0;6945.0;0;
Carrefour;Quilmes;Cerveza rubia Quilmes 473 ml;473 ml;2589.0;1359.22;48;2do al 50% Max 48 unidades Combinable QUILMES
Dia;Oslava;Cerveza Lager Oslava 473 Lt.;473000 ml;1450.0;890.0;39;
Dia;Oslava;Cerveza Lager Oslava 1 Lt.;1000 ml;2100.0;2100.0;0;
Dia;St Wendeler;Cerveza Rubia St. Wendeler 500 ml.;500 ml;2100.0;1250.0;40;
Dia;Isenbeck;Cerveza Isenbeck 473 Ml.;473 ml;2125.0;2125.0;0;
Dia;Schneider;Cerveza Schneider Rubia 710 Ml.;710 ml;3790.0;3790.0;0;
Dia;Schneider;Cerveza Schneider Rubia 473 Ml.;473 ml;2615.0;1700.0;35;
Dia;Brahma;Cerveza Brahma Lata 473 ml.;473 ml;2720.0;1750.0;36;
Dia;Brahma;Cerveza Brahma 710 Ml.;710 ml;3915.0;2550.0;35;
Dia;361;Cerveza Rubia 361 710 Ml.;710 ml;2400.0;1800.0;25;
Dia;Brul;Cerveza Rubia Brul 1 Lt.;1000 ml;3800.0;3250.0;14;
Dia;Corona;Cerveza Lata Corona 473 Ml.;473 ml;4650.0;3700.0;20;
Dia;Quilmes;Cerveza Quilmes 710 Ml.;710 ml;3700.0;2590.0;30;
Dia;Salta Cautiva;Cerveza Ipa Salta Cautiva 473 Ml.;473 ml;3100.0;2015.0;35;
Dia;St Wendeler;Cerveza Ipa St Wendeler 500 Ml.;500 ml;2500.0;1500.0;40;
Dia;Quilmes;Cerveza 0.0 Sin Alcohol Quilmes 473 Ml.;473 ml;2145.0;1394.25;35;
Dia;Michelob Ultra;Cerveza Ultra Michelob 473 Ml.;473 ml;2750.0;2100.0;24;
Dia;Amstel;Cerveza Lager Amstel 473 Ml.;473 ml;2720.0;1768.0;35;
Dia;Stella Artois;Cerveza Stella Artois Lata 473 Ml.;473 ml;3400.0;3400.0;0;
Dia;Andes Origen;Cerveza Andes Origen IPA Andina Lata 473 Ml.;473 ml;3325.0;2161.25;35;
Dia;Amstel;Cerveza Amstel 710 Ml.;710 ml;3920.0;2548.0;35;
Dia;St Wendeler;Cerveza Trigo St. Wendeler 500 Ml.;500 ml;2500.0;1500.0;40;
Dia;Heineken;Cerveza Heineken lata 710 Ml.;710 ml;5990.0;5990.0;0;
Dia;Andes;Cerveza Roja Andes en lata 473 Ml.;473 ml;3325.0;2161.25;35;
Dia;St Wendeler;Cerveza Lager St. Wendeler 500 Ml.;500 ml;2100.0;1250.0;40;
Dia;Andes;Cerveza Andes Rubia en lata 473 Ml.;473 ml;3194.0;2076.1;35;
Dia;St Wendeler;Cerveza Negra St. Wendeler 500 Ml.;500 ml;2500.0;1500.0;40;
Dia;Grolsch;Cerveza Lata Grolsch 473 Cc.;473 ml;3925.0;3925.0;0;
Dia;Quilmes;Cerveza Quilmes Cristal en Lata 473 ml.;473 ml;2588.0;1815.0;30;
Dia;Corona;Cerveza 0.0 Corona 473 Ml.;473 ml;3600.0;1852.5;49;
Dia;Bajo Cero;Cerveza Bajo Cero Quilmes 473 Ml.;473 ml;1610.0;1490.0;7;
Dia;Heineken;Cerveza 0.0 Alcohol Heineken 473 Ml.;473 ml;3380.0;3190.0;6;
Dia;Budweiser;Cerveza Musica Budweiser 473 Ml.;473 ml;2800.0;1950.0;30;
Dia;Stella Artois;Cerveza Vintage Stella Artois 473 Ml.;473 ml;4020.0;3150.0;22;
Dia;Budweiser;Cerveza Budweiser Lata 710 Ml.;710 ml;4115.0;2850.0;31;
Dia;Imperial;Cerveza Imperial Stout lata 473 Ml.;473 ml;3295.0;3295.0;0;
Dia;Imperial;Cerveza Ipa Imperial lata 473 Ml.;473 ml;3295.0;3295.0;0;
Dia;Imperial;Cerveza Golden Imperial 473 Ml.;473 ml;3105.0;3105.0;0;
Dia;Heineken;Cerveza Heineken Lata 473 ml.;473 ml;4030.0;4030.0;0;
Dia;Corona;Cerveza Corona Botella No Retornable 710 Ml.;710 ml;7475.0;7475.0;0;
Dia;Imperial;Cerveza Imperial Lata 473 ml.;473 ml;3105.0;3105.0;0;
Dia;Heineken;Cerveza Porron Heineken 330 Ml.;330 ml;4195.0;3550.0;15;
Dia;Brahma;Cerveza Rubia Brahma Lata 354 Ml.;354 ml;1928.0;1410.0;27;
Dia;Michelob Ultra;Cerveza Ultra Michelob Ultra 27 Ml.;27 ml;2665.0;1990.0;25;
Dia;Pampa;Cerveza Brewing Honey Pampa 473 Ml.;473 ml;3000.0;2700.0;10;
Dia;Pampa;Cerveza Brewing Ipa Pampa 473 Ml.;473 ml;3300.0;3300.0;0;
Dia;Pampa;Cerveza Brewing Dorada Pampa 473Ml.;473 ml;3000.0;2700.0;10;
Dia;Imperial;Cerveza Golden 0.0 Imper 473 Ml.;473 ml;2290.0;2290.0;0;
Dia;Stella Artois;Cerveza Stella Artois 710 Ml.;710 ml;5970.0;4990.0;16;
Dia;Warsteiner;Cerveza Warsteiner 473 Ml.;473 ml;3480.0;3480.0;0;
